T,C0,C1,T_ns,T_ps
960965000,97077,97808,0.960965,0.000960965
960975000,97078,97809,0.960975,0.000960975
960985000,97079,97810,0.960985,0.000960985
960995000,97080,97811,0.960995,0.000960995
1280005000,128981,129706,1.280005,0.001280005
1280015000,128982,129707,1.280015,0.001280015
1280025000,128983,129708,1.280025,0.001280025
1280035000,128984,129709,1.280035,0.001280035
1280045000,128985,129710,1.280045,0.001280045
1280055000,128986,129711,1.280055,0.001280055
1280065000,128987,129712,1.280065,0.001280065
1280075000,128988,129713,1.280075,0.001280075
1280085000,128989,129714,1.280085,0.001280085
1280095000,128990,129715,1.280095,0.001280095
1280105000,128991,129716,1.280105,0.001280105
1280115000,128992,129717,1.280115,0.001280115
1280125000,128993,129718,1.280125,0.001280125
1280135000,128994,129719,1.280135,0.001280135
1280145000,128995,129720,1.280145,0.001280145
1280155000,128996,129721,1.280155,0.001280155
1280165000,128997,129722,1.280165,0.001280165
1280175000,128998,129723,1.280175,0.001280175
1280185000,128999,129724,1.280185,0.001280185
1280195000,129000,129725,1.280195,0.001280195
1280205000,129001,129726,1.280205,0.001280205
1280215000,129002,129727,1.280215,0.001280215
1280225000,129003,129728,1.280225,0.001280225
1280235000,129004,129729,1.280235,0.001280235
1280245000,129005,129730,1.280245,0.001280245
1280255000,129006,129731,1.280255,0.001280255
1280265000,129007,129732,1.280265,0.001280265
1280275000,129008,129733,1.280275,0.001280275
1280285000,129009,129734,1.280285,0.001280285
1280295000,129010,129735,1.280295,0.001280295
1280305000,129011,129736,1.280305,0.001280305
1280315000,129012,129737,1.280315,0.001280315
1280325000,129013,129738,1.280325,0.001280325
1280335000,129014,129739,1.280335,0.001280335
1280345000,129015,129740,1.280345,0.001280345
1280355000,129016,129741,1.280355,0.001280355
1280365000,129017,129742,1.280365,0.001280365
1280375000,129018,129743,1.280375,0.001280375
1280385000,129019,129744,1.280385,0.001280385
1280395000,129020,129745,1.280395,0.001280395
1280405000,129021,129746,1.280405,0.001280405
1280415000,129022,129747,1.280415,0.001280415
1280425000,129023,129748,1.280425,0.001280425
1280435000,129024,129749,1.280435,0.001280435
1280445000,129025,129750,1.280445,0.001280445
1280455000,129026,129751,1.280455,0.001280455
1280465000,129027,129752,1.280465,0.001280465
1280475000,129028,129753,1.280475,0.001280475
1280485000,129029,129754,1.280485,0.001280485
1280495000,129030,129755,1.280495,0.001280495
1280505000,129031,129756,1.280505,0.001280505
1280515000,129032,129757,1.280515,0.001280515
1280525000,129033,129758,1.280525,0.001280525
1280535000,129034,129759,1.280535,0.001280535
1280545000,129035,129760,1.280545,0.001280545
1280555000,129036,129761,1.280555,0.001280555
1280565000,129037,129762,1.280565,0.001280565
1280575000,129038,129763,1.280575,0.001280575
1280585000,129039,129764,1.280585,0.001280585
1280595000,129040,129765,1.280595,0.001280595
1280605000,129041,129766,1.280605,0.001280605
1280615000,129042,129767,1.280615,0.001280615
1280625000,129043,129768,1.280625,0.001280625
1280635000,129044,129769,1.280635,0.001280635
1280645000,129045,129770,1.280645,0.001280645
1280655000,129046,129771,1.280655,0.001280655
1280665000,129047,129772,1.280665,0.001280665
1280675000,129048,129773,1.280675,0.001280675
1280685000,129049,129774,1.280685,0.001280685
1280695000,129050,129775,1.280695,0.001280695
1280705000,129051,129776,1.280705,0.001280705
1280715000,129052,129777,1.280715,0.001280715
1280725000,129053,129778,1.280725,0.001280725
1280735000,129054,129779,1.280735,0.001280735
1280745000,129055,129780,1.280745,0.001280745
1280755000,129056,129781,1.280755,0.001280755
1280765000,129057,129782,1.280765,0.001280765
1280775000,129058,129783,1.280775,0.001280775
1280785000,129059,129784,1.280785,0.001280785
1280795000,129060,129785,1.280795,0.001280795
1280805000,129061,129786,1.280805,0.001280805
1280815000,129062,129787,1.280815,0.001280815
1280825000,129063,129788,1.280825,0.001280825
1280835000,129064,129789,1.280835,0.001280835
1280845000,129065,129790,1.280845,0.001280845
1280855000,129066,129791,1.280855,0.001280855
1280865000,129067,129792,1.280865,0.001280865
1280875000,129068,129793,1.280875,0.001280875
1280885000,129069,129794,1.280885,0.001280885
1280895000,129070,129795,1.280895,0.001280895
1280905000,129071,129796,1.280905,0.001280905
1280915000,129072,129797,1.280915,0.001280915
1280925000,129073,129798,1.280925,0.001280925
1280935000,129074,129799,1.280935,0.001280935
1280945000,129075,129800,1.280945,0.001280945
1280955000,129076,129801,1.280955,0.001280955
1280965000,129077,129802,1.280965,0.001280965
1280975000,129078,129803,1.280975,0.001280975
1280985000,129079,129804,1.280985,0.001280985
1280995000,129080,129805,1.280995,0.001280995
1600005000,160981,161700,1.600005,0.001600005
1600015000,160982,161701,1.600015,0.001600015
1600025000,160983,161702,1.600025,0.001600025
1600035000,160984,161703,1.600035,0.001600035
1600045000,160985,161704,1.600045,0.001600045
1600055000,160986,161705,1.600055,0.001600055
1600065000,160987,161706,1.600065,0.001600065
1600075000,160988,161707,1.600075,0.001600075
1600085000,160989,161708,1.600085,0.001600085
1600095000,160990,161709,1.600095,0.001600095
1600105000,160991,161710,1.600105,0.001600105
1600115000,160992,161711,1.600115,0.001600115
1600125000,160993,161712,1.600125,0.001600125
1600135000,160994,161713,1.600135,0.001600135
1600145000,160995,161714,1.600145,0.001600145
1600155000,160996,161715,1.600155,0.001600155
1600165000,160997,161716,1.600165,0.001600165
1600175000,160998,161717,1.600175,0.001600175
1600185000,160999,161718,1.600185,0.001600185
1600195000,161000,161719,1.600195,0.001600195
1600205000,161001,161720,1.600205,0.001600205
1600215000,161002,161721,1.600215,0.001600215
1600225000,161003,161722,1.600225,0.001600225
1600235000,161004,161723,1.600235,0.001600235
1600245000,161005,161724,1.600245,0.001600245
